"lang"
{
    "Language"    "russian"
        "DOTA_Tooltip_modifier_linken_perk"    "Отражение заклинания от Linken's Pendant"
        "pay_item_like_gift_code"    "ПОЛУЧИТЬ КАК ПОДАРОЧНЫЙ КОД"
        "gift_codes_header"    "ПОДАРОЧНЫЕ КОДЫ"
        "gift_codes_description"    "Вы можете отправить подарок с помощью кода другим игрокам непосредственно в лобби, наведя на кнопку <Отправить>. Если вы хотите отправить подарок игрокам не из лобби, раскройте свой код, скопируйте его и отправьте своему другу. Он сможет применить этот код в игре в любое время. Для приобретения подарочного кода выберите пункт `Купить как подарочный код` при покупке предмета."
        "gift_codes_redeem_use"    "ВВЕДИТЕ КОД:"
        "gift_code_item"    "Предмет"
        "gift_code_code"    "Код"
        "gift_code_status"    "Статус"
        "gift_code_update"    "Обновить"
        "gift_code_redeem"    "ПРИМЕНИТЬ"
        "gift_code_claimed_by"    "Получено "
        "gift_code_state_0"    "Доступно"
        "gift_code_state_1"    "Активировано"
        "gift_code_invalid"    "Код введен неверно"
        "gift_code_already_claimed"    "Код уже активирован"
        "gift_code_activated_fine"    "Код активирован!"
        "gife_code_reveal"    "Раскрыть"
        "gife_code_reclaim"    "ПРИМЕНИТЬ"
        "gife_code_send_local_lobby"    "Отправить"
        "gift_codes_open"    "Открыть подарочные коды"
        "gift_codes_click_to_copy"    "  (нажмите, чтобы скопировать)"
        "select_player_for_gift"    "ВЫБЕРИТЕ ИГРОКА"
        "player_for_gift_description"    "Игрок будет уведомлен и немедленно получит подарок"
        "player_for_gift_warning"    "Эта операция не может быть отменена!"
        "gift_code_self_gift_header"    "Вы получили подарок!"
        "gift_code_self_from"    "От:"
        "gift_code_open_collection"    "Открыть коллекцию"
        "gift_code_was_sent_to"    " отправил подарок "
        "Close"    "Закрыть"
        "and"    "и"
        "High_five_just"    "дали друг другу пять!"
        "High_five_LeftHanging"    "пытается дать кому-нибудь пять, но безуспешно."
        "mute_all_hint"    "Заглушить всех"
        "synced_chat_header"    "Чат для поддержавших и разработчиков"
        "synced_chat_placeholder"    "Введите сообщение..."
        "synced_chat_tooltip"    "Отправить введенное сообщение. Его будет видно во всех остальных играх этого режима и в специальном канале Discord сервера разработчиков!"
        "be_anonymous"    "Отправить анонимно"
        "load_more_messages"    "Загрузить больше сообщений..."
        "anon_player"    "Анонимный игрок"
        "locked_supporters_only"    "Только для Поддержавших"
        "synced_chat_loading"    "Загрузка..."
        "sc_yesterday"    "Вчера"
        "sc_days_ago"    "%%v%% дней назад"
        "sc_hours_ago"    "%%v%% часов назад"
        "sc_mins_ago"    "%%v%% минут назад"
        "sc_sec_ago"    "%%v%% секунд назад"
        "sc_dev"    "Разработчик"
        "sc_time_to_refresh_messages"    "Время до получения новых сообщений"
        "sc_mute_date"    "Чат для вас недоступен ещё %%days%% дней %%hours%% часов %%mins%% минут"
        "DOTA_Tooltip_ability_item_arcane_blink_Note2"    "
Источники процентных уменьшений перезарядки не складываются."
        "DOTA_Tooltip_ability_item_octarine_core_Note0"    "Источники процентных уменьшений перезарядки не складываются."
        "DOTA_Tooltip_ability_item_spell_prism_Note0"    "Источники процентных уменьшений перезарядки не складываются."
        "DOTA_Tooltip_ability_item_quickening_charm_Note0"    "Источники процентных уменьшений перезарядки не складываются."
        "git_new_issue"    "Создать<br>баг-репорт"
        "git_show_issues"    "Показать<br>баг-репорты"
        "addon_game_name"    "Overthrow 3.0"
        "kills_to_win"    "+{d:points_to_win} more"
        "DOTA_Tooltip_modifier_central_ring"    "Благословление Надзирателя"
        "DOTA_Tooltip_modifier_central_ring_Description"    "Получаете дополнительное золото и опыт с течением времени"
        "DOTA_Tooltip_modifier_fountain_rejuvenation_effect_lua"    "Омоложение Фонтана"
        "DOTA_Tooltip_modifier_fountain_rejuvenation_effect_lua_Description"    "Восстанавливает %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% здоровья и %dMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% маны в секунду."
        "DOTA_Tooltip_ability_item_gold_coin"    "200 Золота на Команду"
        "DOTA_Tooltip_ability_item_common_orb"    "Обычный Осколок Улучшения"
        "DOTA_Tooltip_ability_item_rare_orb"    "Редкий Осколок Улучшения"
        "DOTA_Tooltip_ability_item_epic_orb"    "Эпический Осколок Улучшения"
		"DOTA_Tooltip_ability_item_common_orb_duo"    "Обычный Осколок Улучшения (Duo)"
        "DOTA_Tooltip_ability_item_rare_orb_duo"    "Редкий Осколок Улучшения (Duo)"
        "DOTA_Tooltip_ability_item_epic_orb_duo"    "Эпический Осколок Улучшения (Duo)"
		"DOTA_Tooltip_ability_item_common_orb_quintet"    "Обычный Осколок Улучшения (Quintet)"
        "DOTA_Tooltip_ability_item_rare_orb_quintet"    "Редкий Осколок Улучшения (Quintet)"
        "DOTA_Tooltip_ability_item_epic_orb_quintet"    "Эпический Осколок Улучшения (Quintet)"
		"DOTA_Tooltip_ability_item_common_orb_octet"    "Обычный Осколок Улучшения (Octet)"
        "DOTA_Tooltip_ability_item_rare_orb_octet"    "Редкий Осколок Улучшения (Octet)"
        "DOTA_Tooltip_ability_item_epic_orb_octet"    "Эпический Осколок Улучшения (Octet)"
        "Scoreboard_DisableHelp"    "Когда включено, запрещает использовать {s:player_name} определенные способности на Вашего героя."
        "Scoreboard_Mute"    "Заглушить"
        "EG_Moonshard_Title"    "Наличие съеденего Moonshard"
        "EG_Moonshard_Description"    "Отсутствует"
        "EG_Perk_Title"    "Талант"
        "EG_Perk_Description"    "Не выбран"
        "EG_RatingChanges_Description"    "Рейтинг / Изменения рейтинга в этой игре"
        "custom_end_screen_status_effects"    "Эффекты"
        "custom_end_screen_perk"    "Талант"
        "custom_end_networth"    "Общая<br>стоимость"
        "custom_end_gpm"    "ЗВМ"
        "custom_end_xpm"    "ОВМ"
        "custom_end_builing_damage"    "Урон по зданиям"
        "custom_end_hero_damage"    "Урон по героям"
        "custom_end_damage_taken"    "Урона получено"
        "custom_end_heal"    "Исходящее<br>лечение"
        "custom_end_capture_orbs_time"    "Захват Сфер"
        "custom_end_capture_orbs_seconds"    "{s:capture_orbs_time}sec"
        "custom_end_stuns"    "Дизейблы"
        "custom_end_stuns_seconds"	"{s:total_stuns}сек"
        "custom_end_wards"    "Observers/Sentries"
        "custom_end_kills"    "Убито противников"
        "custom_end_rating"    "Рейтинг"
        "EG_show_chat"    "Показать чат"
        "EG_hide_chat"    "Скрыть чат"
        "EG_show_personal_score"    "Показать мой счёт"
        "EG_show_full_scoreboard"    "Показать полную таблицу результатов"
		"EG_open_collection"		"Показать Коллекцию"
        "orbs_hint_common"    "Прогресс получения следующего обычного осколка улучшения. Постепенно заполняется со временем."
        "orbs_hint_rare"    "Прогресс получения следующего редкого осколка улучшения. Заполняется путем убийства противников."
        "leader_killed_message"    "%s1 получает <font color='#FFFF00'>%s2</font> золота за убийства лидера!"
        "upgrades_later"    "Позже"
        "select_upgrades"    "Выбрать Улучшение"
		"upgrade_count" "Уровень: <font color='#ffd900'>{d:current_count}</font>/<font color='#ffffff'>{s:u_max_count}</font>"
        "upgrade_description_inc"    "увеличено на"
        "upgrade_description_dec"    "уменьшено на"
        "linked_abilities"    "Также влияет на:"
        "game_duration_increased_note"    "%s1 проголосовал за увеличение лимита убийств на %s2 и продление лимита времени на 30 секунд."
        "game_duration_decreased_abandon_note"    "%s1 покинул игру. Лимит убийств был уменьшен на %s2."
        "game_duration_increased_abandon_note"    "%s1 вернулся в игру. Лимит убийств был увеличен на %s2."
        "item_will_spawn_message"    "скоро будет доставлен!"
        "item_has_spawned_message"    "в пути!"
        "cooldown_and_manacost_upgrade"    "%Перезарядки и Расхода маны"
        "generic_all_attributes"    "<b>+{s:attributes}</b> Всех Атрибутов"
        "generic_all_attributes"    "<b>+{s:attributes}</b> Всех Атрибутов"
        "generic_damage"    "<b>+{s:damage}</b> Урона"
        "generic_primary_attribute"    "<b>+{s:attributes}</b> Основного Атрибута"
        "generic_secondary_attributes"    "<b>+{s:attributes}</b> Второстепенных Атрибутов"
        "generic_armor"    "<b>+{s:armor}</b> Брони"
        "generic_magic_resistance"    "<b>+{s:magic_resistance}%</b> Сопротивления Магии"
        "generic_movement_speed"    "<b>+{s:movement_speed}</b> Скорости Передвижения"
        "generic_evasion"    "<b>+{s:evasion}%</b> Уклонения"
        "generic_attack_speed"    "<b>+{s:attack_speed}</b> Скорости Атаки"
        "generic_lifesteal"    "<b>+{s:lifesteal}%</b> Вампиризма"
        "generic_spell_lifesteal"    "<b>+{s:spell_lifesteal}%</b> Магического Вампиризма"
        "generic_spell_amp"    "<b>+{s:spell_amp}%</b> к Урону от Заклинаний"
        "generic_health_regen"    "<b>+{s:health_regen}</b> Регенерации Здоровья"
        "generic_mana_regen"    "<b>+{s:mana_regen}</b> Регенерации Маны"
        "generic_cast_range"    "<b>+{s:cast_range}</b> Дальности Применения"
        "generic_status_resistance"    "<b>+{s:status_resistance}%</b> Сопротивления Эффектам"
        "generic_gpm"    "<b>+{s:gpm}</b> Золота В Минуту"
        "generic_heal_amp"    "<b>+{s:heal_amp}%</b> Усиления Лечения"
        "generic_neutral_item_stats"    "<b>+{s:neutral_item_stats}%</b> Усиления Нейтральных Предметов"
        "generic_health_percentage"    "<b>+{s:health_percentage}%</b> Максимального Здоровья"
        "generic_base_attack_time"    "<b>{s:base_attack_time}</b> Базового Интервала Атаки"
        "generic_all_attributes_per_level"    "<b>+{s:attributes_gain}</b> Всех Атрибутов За Уровень"
        "generic_primary_attribute_per_level"    "<b>+{s:attribute_gain}</b> Основного Атрибута За Уровень"
        "generic_secondary_attributes_per_level"    "<b>+{s:attributes_gain}</b> Вторичных Атрибутов За Уровень"
        "generic_common_stat_boost"    "<b>+{s:common_generic_stat_boost}%</b> Эффекта От Обычных Осколков Улучшения"
        "generic_rare_stat_boost"    "<b>+{s:rare_generic_stat_boost}%</b> Эффекта От Редких Осколков Улучшения"
        "generic_damage_shield"    "<b>+{s:capacity_per_level}</b> Щит От Урона За Уровень"
        "generic_auto_rune"    "Дарует эффект другой усиляющей руны каждые <b>{s:interval}</b> секунд"
        "generic_attack_range"    "<b>+{s:range_increase_melee}/{s:range_increase_ranged}</b> к дальности атаки для героев <b>Ближнего/Дальнего</b> боя"
		"generic_item_cdr"    "<b>+{s:cooldown_reduction}%</b> к уменьшению перезарядок предметов"

		"generic_health_and_mana_on_kill"		"Восстановление <b>+{s:health_gained}</b> здоровья и <b>+{s:mana_gained}</b> маны при убийстве"
		"generic_vision_radius"					"<b>+{s:day_vision}</b>/<b>{s:night_vision}</b> к дальности видимости днём/ночью"
		"generic_base_attack_damage_pct"		"<b>+{s:base_attack_damage_pct}%</b> к базовому урону от атак"
		"generic_attack_projectile_speed"		"<b>+{s:projectile_speed}</b> к скорости полёта снарядов"
		"generic_primary_attribute_increase"	"<b>+{s:attribute_increase}%</b> к основному атрибуту"
		"generic_secondary_attribute_increase"	"<b>+{s:attribute_increase}%</b> к второстепенным атрибутам"
		"generic_burning_aura"					"<b>+{s:burn_damage}</b> магического урона всем врагам в радиусе <b>{s:fixed_burn_radius}</b>"
		"generic_armor_shred"					"<b>+{s:armor_shred}</b> уменьшения брони при атаке на <b>{s:fixed_duration}</b> сек"
		"generic_cleave"						"<b>+{s:cleave_damage}%</b> к прорубающему урону"
		"generic_magic_attack_damage"			"<b>+{s:magic_attack_damage}</b> к магическому урону при атаке"
		"generic_manaburn"						"<b>+{s:mana_burned}</b> к сжиганию маны при атаке.<br>Наносит <b>{s:fixed_burned_as_damage}</b> дополнительного урона за единицу сожжёной маны."
		"generic_critical_strike"				"<b>{s:fixed_crit_chance}%</b> к шансу нанесения критического урона в <b>{s:fixed_crit_damage_base}%</b> + <b>{s:crit_damage_bonus}%</b> критического урона за каждое улучшение"
		"generic_flying_movement"				"Даёт беспрепятственное перемещение"

		"generic_physical_shield" 				"<b>+{s:shield_capacity}</b> максимальный физический щит. Восстанавливается, когда вне боя в течение <b>{s:fixed_combat_cd}</b> секунд."
		"generic_magical_shield" 				"<b>+{s:shield_capacity}</b> максимальный магический щит. Восстанавливается, когда вне боя в течение <b>{s:fixed_combat_cd}</b> секунд."
		"generic_universal_shield" 				"<b>+{s:shield_capacity}</b> максимальный универсальный щит. Восстанавливается, когда вне боя в течение <b>{s:fixed_combat_cd}</b> секунд."

		"generic_magic_resistance_reduction" 	"<b>+{s:magic_resistance_reduction}%</b> снижение магического сопротивления при использовании способности на <b>направленное существо</b> на <b>{s:fixed_duration}</b> секунд"

		"DOTA_Tooltip_modifier_generic_armor_shred_target" "Armor Shredded"
		"DOTA_Tooltip_modifier_generic_burning_aura_upgrade"	"Burning Aura"
		"DOTA_Tooltip_modifier_generic_burning_aura_upgrade_Description"	"Наносит %dMODIFIER_PROPERTY_TOOLTIP% магического урона врагам неподалёку каждую секунду"
		"DOTA_Tooltip_modifier_generic_flying_movement_upgrade"		"Улучшение Беспрепятственного Передвижения"
        "DOTA_Tooltip_modifier_invis_revealed"    "Невидимость Раскрыта"
        "DOTA_Tooltip_modifier_disconnect_invulnerable"    "Неуязвим"



        "leader_was_killed_by_bonus_0"    "убил лидера за"
        "leader_was_killed_by_bonus_1"    "дополнительного золота!"
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom"    "Helm of the Dominator"
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Description"    "<h1>Активное: Dominate</h1> Даёт контроль над нейтральным крипом, не являющимся древним, и увеличивает его скорость передвижения до %speed_base%, а запас здоровья — до %health_min%. Также даёт крипу +%creep_bonus_damage% к базовому урону, +%creep_bonus_armor% к броне, +%creep_bonus_hp_regen% к восстановлению здоровья и +%creep_bonus_mp_regen% к восстановлению маны.<br><br>Если максимальное здоровье существа больше %health_min%, оно не изменится. За убийство существа даётся %bounty_gold% золота.<br><br>Дальность применения: %abilitycastrange%"
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Lore"    "Могучий шлем мёртвого некроманта."
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Note0"    "Можно приручить только одно существо. Если приручить новое существо, старое умрет."
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Note1"    "Также действует на вражеских крипов с линий и призванных существ."
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_Note2"    "Подчинённое существо умрёт, если продать этот предмет."
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_bonus_stats"    "+$all"
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_bonus_armor"    "+$armor"
        "DOTA_Tooltip_ability_item_helm_of_the_dominator_custom_bonus_regen"    "+$hp_regen"
        "DOTA_Tooltip_modifier_item_helm_of_the_dominator_custom_aura"    "Аура Helm of the Dominator"
        "DOTA_Tooltip_modifier_item_helm_of_the_dominator_custom_aura_Description"    "Восстановление здоровья увеличено на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%. Базовый урон увеличен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
        "DOTA_Tooltip_modifier_item_helm_of_the_overlord_custom_aura"    "Аура Helm of the Overlord"
        "DOTA_Tooltip_modifier_item_helm_of_the_overlord_custom_aura_Description"    "Восстановление здоровья увеличено на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%. Базовый урон увеличен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom"    "Helm of the Overlord"
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_Description"    "<h1>Активное: Dominate</h1> Даёт контроль над нейтральным крипом и увеличивает его скорость передвижения до %speed_base%, а запас здоровья — до %health_min%. Также даёт крипу +%creep_bonus_damage% к базовому урону, +%creep_bonus_armor% к броне, +%creep_bonus_hp_regen% к восстановлению здоровья и +%creep_bonus_mp_regen% к восстановлению маны.<br><br>Если максимальное здоровье существа больше %health_min%, оно не изменится. За убийство существа даётся %bounty_gold% золота.<br><br>Дальность применения: %abilitycastrange%\n<h1>Пассивное: Vladmir's Aura</h1>Увеличивает вампиризм союзников поблизости на %lifesteal_aura%%%, их урон на %damage_aura%%%, броню на %armor_aura% и восстановление маны на %mana_regen_aura%."
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_Lore"    "Могучий шлем мёртвого некроманта."
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_Note0"    "Позволяет подчинить до двух существ. "
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_Note1"    "Также действует на вражеских крипов с линий и призванных существ."
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_Note2"    "Подчинённые существа умрут, если продать этот предмет."
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_bonus_stats"    "+$all"
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_bonus_armor"    "+$armor"
        "DOTA_Tooltip_ability_item_helm_of_the_overlord_custom_bonus_regen"    "+$hp_regen"
        "custom_hud_error_no_coins"    "Умение Не Может Быть Использовано Без Монет"

        "upgrade_DOTA_Tooltip_ability_pugna_decrepify_duration"    "ДЛИТЕЛЬНОСТЬ"
        "upgrade_DOTA_Tooltip_ability_naga_siren_mirror_image_outgoing_damage"    "ИСХОДЯЩИЙ УРОН"
        "upgrade_DOTA_Tooltip_ability_naga_siren_mirror_image_incoming_damage"    "ВХОДЯЩИЙ УРОН"
        "upgrade_DOTA_Tooltip_ability_naga_siren_rip_tide_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_wisp_spirits_hit_radius"    "РАДИУС СТОЛКНОВЕНИЯ"
        "upgrade_DOTA_Tooltip_ability_tidehunter_ravage_speed"    "СКОРОСТЬ"
        "upgrade_DOTA_Tooltip_ability_slardar_bash_attack_count"    "КОЛИЧЕСТВО АТАК"
        "upgrade_DOTA_Tooltip_ability_slardar_amplify_damage_puddle_duration"	"ДЛИТЕЛЬНОСТЬ"
		"upgrade_DOTA_Tooltip_ability_slardar_amplify_damage_puddle_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_windrunner_shackleshot_shackle_angle"    "УГОЛ ПОИСКА СВЯЗКИ"
        "upgrade_DOTA_Tooltip_ability_windrunner_shackleshot_shackle_distance"    "РАДИУС СВЯЗКИ"
        "upgrade_DOTA_Tooltip_ability_windrunner_powershot_damage_reduction"    "%УМЕНЬШЕНИЕ УРОНА"
        "upgrade_DOTA_Tooltip_ability_windrunner_powershot_arrow_width"    "ШИРИНА ПОПАДАНИЯ"
        "upgrade_DOTA_Tooltip_ability_windrunner_powershot_vision_radius"    "РАДИУС ОБЗОРА"
        "upgrade_DOTA_Tooltip_ability_windrunner_windrun_scepter_movespeed_bonus_pct"    "ЗАМЕДЛЕНИЕ (АГАНИМ)"
        "upgrade_DOTA_Tooltip_ability_windrunner_gale_force_wind_strength"    "СИЛА ВЕТРА"
        "upgrade_DOTA_Tooltip_ability_tiny_tree_grab_splash_range"    "ДАЛЬНОСТЬ ПРОРУБАЮЩЕГО УРОНА"
        "upgrade_DOTA_Tooltip_ability_tiny_toss_bonus_damage_pct"    "ДОПОЛНИТЕЛЬНЫЙ УРОН ДЛЯ БРОШЕННОГО ВРАГА"
        "upgrade_DOTA_Tooltip_ability_monkey_king_primal_spring_impact_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_earth_spirit_rolling_boulder_damage_str"	"УРОН ОТ СИЛЫ"
        "upgrade_DOTA_Tooltip_ability_earth_spirit_geomagnetic_grip_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_earth_spirit_boulder_smash_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_medusa_split_shot_damage_modifier"    "НАНОСИМЫЙ УРОН"
        "upgrade_DOTA_Tooltip_ability_enigma_malefice_duration"    "ДЛИТЕЛЬНОСТЬ"
        "upgrade_DOTA_Tooltip_ability_enigma_black_hole_shard_radius"    "РАДИУС (SHARD)"
        "upgrade_DOTA_Tooltip_ability_enigma_black_hole_scepter_pct_damage"    "УРОН (АГАНИМ)"
        "upgrade_DOTA_Tooltip_ability_dawnbreaker_celestial_hammer_pause_duration"    "ЗАДЕРЖКА ДО ВОЗВРАЩЕНИЯ МОЛОТА"
        "upgrade_DOTA_Tooltip_ability_dawnbreaker_luminosity_attack_count"    "КОЛИЧЕСТВО АТАК"
        "upgrade_DOTA_Tooltip_ability_dawnbreaker_luminosity_heal_radius"    "РАДИУС ЛЕЧЕНИЯ"
        "upgrade_DOTA_Tooltip_ability_hoodwink_acorn_shot_bounce_range"    "РАДИУС ОТСКОКА"
        "upgrade_DOTA_Tooltip_ability_snapfire_lil_shredder_buffed_attacks"    "ЧИСЛО АТАК"
        "upgrade_DOTA_Tooltip_ability_snapfire_scatterblast_point_blank_dmg_bonus_pct"    "ДОПОЛНИТЕЛЬНЫЙ УРОН ВБЛИЗИ"
        "upgrade_DOTA_Tooltip_ability_oracle_fortunes_end_bolt_speed"    "СКОРОСТЬ СНАРЯДА"
        "upgrade_DOTA_Tooltip_ability_razor_plasma_field_speed"    "СКОРОСТЬ"
        "upgrade_DOTA_Tooltip_ability_razor_unstable_current_shard_pct_chance"	"ШАНС КОНТРАТАКИ (SHARD)"
        "upgrade_DOTA_Tooltip_ability_razor_unstable_current_shard_damage"	"УРОН (SHARD)"
        "upgrade_DOTA_Tooltip_ability_shredder_chakram_speed"    "СКОРОСТЬ"
        "upgrade_DOTA_Tooltip_ability_void_spirit_dissimilate_shard_bonus_damage"    "БОНУСНЫЙ УРОН (SHARD)"
        "upgrade_DOTA_Tooltip_ability_void_spirit_astral_step_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_templar_assassin_psionic_trap_trap_max_charge_duration"    "ВРЕМЯ НАКОПЛЕНИЯ ЗАРЯДА"
        "upgrade_DOTA_Tooltip_ability_templar_assassin_psi_blades_attack_spill_width"    "ШИРИНА ПРОБИВАЮЩЕГО УРОНА"
        "upgrade_DOTA_Tooltip_ability_huskar_life_break_health_damage"    "УРОН ОТ ЗДОРОВЬЯ"
        "upgrade_DOTA_Tooltip_ability_magnataur_shockwave_shock_width"	"ШИРИНА ВОЛНЫ"
		"upgrade_DOTA_Tooltip_ability_magnataur_shockwave_pull_distance"    "ДАЛЬНОСТЬ ПРИТЯГИВАНИЯ"
		"upgrade_DOTA_Tooltip_ability_magnataur_shockwave_scepter_width"    "ШИРИНА (SCEPTER)"
		"upgrade_DOTA_Tooltip_ability_magnataur_shockwave_scepter_length"    "ДЛИНА (SCEPTER)"
        "upgrade_DOTA_Tooltip_ability_magnataur_empower_self_multiplier"    "МНОЖИТЕЛЬ ДЛЯ ВЛАДЕЛЬЦА"
        "upgrade_DOTA_Tooltip_ability_magnataur_skewer_skewer_radius"	"РАДИУС ЗАХВАТА"
        "upgrade_DOTA_Tooltip_ability_skeleton_king_reincarnation_slow_radius"    "РАДИУС ЗАМЕДЛЕНИЯ"
        "upgrade_DOTA_Tooltip_ability_skeleton_king_hellfire_blast_blast_speed"    "СКОРОСТЬ СНАРЯДА"
        "upgrade_DOTA_Tooltip_ability_abaddon_frostmourne_hit_count"    "КОЛИЧЕСТВО АТАК"
        "upgrade_DOTA_Tooltip_ability_sandking_epicenter_epicenter_radius"    "РАДИУС ЭПИЦЕНТРА"
        "upgrade_DOTA_Tooltip_ability_sandking_sand_storm_fade_delay"    "ЗАДЕРЖКА ПЕРЕД НЕВИДИМОСТЬЮ"
        "upgrade_DOTA_Tooltip_ability_sandking_burrowstrike_burrow_speed"    "СКОРОСТЬ"
        "upgrade_DOTA_Tooltip_ability_puck_dream_coil_coil_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_puck_illusory_orb_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_puck_illusory_orb_damage"    "УРОН"
        "upgrade_DOTA_Tooltip_ability_antimage_mana_break_percent_damage_per_burn"    "ПРОЦЕНТНЫЙ УРОН ЗА СЖИГАНИЕ"
        "upgrade_DOTA_Tooltip_ability_antimage_mana_break_illusion_percentage"    "ПРОЦЕНТ ОТ ИЛЛЮЗИЙ"
        "upgrade_DOTA_Tooltip_ability_pudge_meat_hook_hook_speed"    "СКОРОСТЬ ПОЛЁТА"
        "upgrade_DOTA_Tooltip_ability_winter_wyvern_cold_embrace_shard_splinter_range"    "ДАЛЬНОСТЬ (SHARD)"
        "upgrade_DOTA_Tooltip_ability_ancient_apparition_ice_blast_radius_max"    "МАКСИМАЛЬНЫЙ РАДИУС"
        "upgrade_DOTA_Tooltip_ability_phoenix_fire_spirits_spirit_speed"    "СКОРОСТЬ ДУХОВ"
        "upgrade_DOTA_Tooltip_ability_phoenix_icarus_dive_dash_width"    "ШИРИНА ПОЛЕТА"
        "upgrade_DOTA_Tooltip_ability_phoenix_icarus_dive_hit_radius"    "РАДИУС НАНЕСЕНИЯ УРОНА"
        "upgrade_DOTA_Tooltip_ability_venomancer_venomous_gale_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_earthshaker_enchant_totem_scepter_cleave_pct"    "ПРОРУБАЮЩИЙ УРОН (SCEPTER)"
        "upgrade_DOTA_Tooltip_ability_earthshaker_enchant_totem_scepter_cleave_distance"    "ДАЛЬНОСТЬ ПРОРУБАНИЯ (SCEPTER)"
        "upgrade_DOTA_Tooltip_ability_enchantress_impetus_distance_cap"    "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ"
        "upgrade_DOTA_Tooltip_ability_marci_companion_run_landing_radius"    "РАДИУС ПРИЗЕМЛЕНИЯ"
        "upgrade_DOTA_Tooltip_ability_centaur_double_edge_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_phantom_lancer_phantom_edge_agility_duration"    "ДЛИТЕЛЬНОСТЬ ДОПОЛНИТЕЛЬНОЙ ЛОВКОСТИ"
        "upgrade_DOTA_Tooltip_ability_phantom_lancer_phantom_edge_bonus_speed"    "ДОПОЛНИЕТЛЬНАЯ СКОРОСТЬ"
        "upgrade_DOTA_Tooltip_ability_phantom_lancer_doppelwalk_illusion_1_damage_in_pct"    "ВХОДЯЩИЙ УРОН ПЕРВОЙ ИЛЛЮЗИИ"
        "upgrade_DOTA_Tooltip_ability_phantom_lancer_doppelwalk_illusion_2_damage_out_pct"    "ИСХОДЯЩИЙ УРОН ВТОРОЙ ИЛЛЮЗИИ"
        "upgrade_DOTA_Tooltip_ability_rattletrap_rocket_flare_duration"    "ДЛИТЕЛЬНОСТЬ"
        "upgrade_DOTA_Tooltip_ability_nevermore_requiem_requiem_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_nevermore_necromastery_necromastery_soul_release"    "ВЫПУСКАНИЕ ДУШ"
        "upgrade_DOTA_Tooltip_ability_nevermore_shadowraze1_shadowraze_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_rubick_fade_bolt_radius"    "РАДИУС"
        "upgrade_DOTA_Tooltip_ability_terrorblade_conjure_image_illusion_outgoing_damage"    "ИСХОДЯЩИЙ УРОН ИЛЛЮЗИИ"
        "upgrade_DOTA_Tooltip_ability_terrorblade_conjure_image_illusion_incoming_damage"    "ВХОДЯЩИЙ УРОН ИЛЛЮЗИИ"
        "upgrade_DOTA_Tooltip_ability_meepo_earthbind_speed"    "СКОРОСТЬ"
        "upgrade_DOTA_Tooltip_ability_shadow_demon_disruption_illusion_outgoing_damage"    "ИСХОДЯЩИЙ УРОН ИЛЛЮЗИИ"
        "upgrade_DOTA_Tooltip_ability_shadow_demon_disruption_illusion_incoming_damage"    "ВХОДЯЩИЙ УРОН ИЛЛЮЗИИ"
        "upgrade_DOTA_Tooltip_ability_shadow_demon_shadow_poison_speed"    "СКОРОСТЬ"
